,Id,Title,Description,Popularity,Genres,Release Date,Rating,Vote Count,Revenue
1626,6977,No Country for Old Men,"Llewelyn Moss stumbles upon dead bodies, $2 million and a hoard of heroin in a Texas desert, but methodical killer Anton Chigurh comes looking for it, with local sheriff Ed Tom Bell hot on his trail. The roles of prey and predator blur as the violent pursuit of money and justice collide.",33.515,"['Crime', 'Drama', 'Thriller']",2007-06-13,7.9,10175,171627166
1627,50646,"Crazy, Stupid, Love.","Cal Weaver is living the American dream. He has a good job, a beautiful house, great children and a beautiful wife, named Emily. Cal's seemingly perfect life unravels, however, when he learns that Emily has been unfaithful and wants a divorce. Over 40 and suddenly single, Cal is adrift in the fickle world of dating. Enter, Jacob Palmer, a self-styled player who takes Cal under his wing and teaches him how to be a hit with the ladies.",34.464,"['Comedy', 'Drama', 'Romance']",2011-07-29,7.3,7237,142851197
1628,10591,The Girl Next Door,"Exceptionally ambitious high schooler Matthew has aspirations for a career in politics when he falls in love with his gorgeous 19-year-old neighbor, Danielle. But Matthew's bright future is jeopardized when he finds Danielle was once a porn star. As Danielle's past catches up with her, Matthew's love for her forces him to re-evaluate his goals.",41.112,"['Comedy', 'Romance']",2004-04-09,6.7,2903,31635150
1629,730047,Cyrano,"A man ahead of his time, Cyrano de Bergerac dazzles whether with ferocious wordplay at a verbal joust or with brilliant swordplay in a duel. But, convinced that his appearance renders him unworthy of the love of a devoted friend, the luminous Roxanne, Cyrano has yet to declare his feelings for her—and Roxanne has fallen in love, at first sight, with Christian.",30.661,"['Drama', 'Romance']",2021-12-17,6.5,179,3000000
1630,1003598,Avengers: Secret Wars,An upcoming Phase 6 Marvel Cinematic Universe film that will conclude the Multiverse Saga.,27.371,"['Action', 'Science Fiction']",2026-04-29,0.0,0,0
1631,42941,30 Days of Night: Dark Days,"After surviving the incidents in Barrow, Alaska, Stella Olemaun relocates to Los Angeles, where she intentionally attracts the attention of the local vampire population in order to avenge the death of her husband, Eben.",22.307,"['Horror', 'Thriller']",2010-10-04,4.9,425,0
1632,287424,Maggie,"There's a deadly zombie epidemic threatening humanity, but Wade, a small-town farmer and family man, refuses to accept defeat even when his daughter Maggie becomes infected. As Maggie's condition worsens and the authorities seek to eradicate those with the virus, Wade is pushed to the limits in an effort to protect her. Joely Richardson co-stars in this post-apocalyptic thriller.",27.381,"['Horror', 'Drama', 'Mystery']",2015-05-08,5.4,1424,187112
1633,51828,One Day,"A romantic comedy centered on Dexter and Emma, who first meet during their graduation in 1988 and proceed to keep in touch regularly. The film follows what they do on July 15 annually, usually doing something together.",28.754,"['Drama', 'Romance']",2011-03-02,7.4,3674,59389433
1634,8077,Alien³,"After escaping with Newt and Hicks from the alien planet, Ripley crash lands on Fiorina 161, a prison planet and host to a correctional facility. Unfortunately, although Newt and Hicks do not survive the crash, a more unwelcome visitor does. The prison does not allow weapons of any kind, and with aid being a long time away, the prisoners must simply survive in any way they can.",28.048,"['Science Fiction', 'Action', 'Horror']",1992-05-22,6.3,4675,159773545
1635,4982,American Gangster,"Following the death of his employer and mentor, Bumpy Johnson, Frank Lucas establishes himself as the number one importer of heroin in the Harlem district of Manhattan. He does so by buying heroin directly from the source in South East Asia and he comes up with a unique way of importing the drugs into the United States. Partly based on a true story.",27.198,"['Drama', 'Crime']",2007-11-02,7.6,4596,266465037
