,Id,Title,Description,Popularity,Genres,Release Date,Rating,Vote Count,Revenue
4058,724989,Hard Kill,"The work of billionaire tech CEO Donovan Chalmers is so valuable that he hires mercenaries to protect it, and a terrorist group kidnaps his daughter just to get it.",19.718,"['Action', 'Thriller']",2020-10-23,5.2,438,111523
4059,167,K-PAX,"Prot is a patient at a mental hospital who claims to be from a far away planet. His psychiatrist tries to help him, only to begin to doubt his own explanations.",19.718,"['Science Fiction', 'Drama']",2001-10-22,7.2,1985,50315140
4060,10727,Darkness Falls,"A vengeful spirit has taken the form of the Tooth Fairy to exact vengeance on the town that lynched her 150 years earlier. Her only opposition is the only child, now grown up, who has survived her before.",19.717,"['Thriller', 'Horror']",2003-01-24,5.5,480,0
4061,4836,Layer Cake,"When a seemingly straight-forward drug deal goes awry, XXXX has to break his die-hard rules and turn up the heat, not only to outwit the old regime and come out on top, but to save his own skin...",19.712,"['Drama', 'Thriller', 'Crime']",2004-09-30,6.9,1699,11850214
4062,818192,Ida Red,"Ida Red may not survive her 20-year prison sentence for armed robbery. She turns to her son, Wyatt, for one last job and a chance to regain her freedom.",19.71,"['Crime', 'Thriller', 'Drama', 'Action']",2021-11-05,6.2,47,0
4063,611489,Initiation,"During a Whiton University's pledge week, the carefree partying turns deadly when brutal murders start befalling the students, sending Ellery into a race against time to uncover the truth behind the school's dark secrets and the horrifying meaning of a recurring symbol: a single exclamation mark.",19.709,"['Horror', 'Mystery']",2020-10-08,5.5,97,0
4064,748853,In the Earth,"As a deadly virus ravages the world, Dr. Martin Lowery embarks on a mission to reach test site ATU327A, a research hub deep in the Arboreal Forest. The arduous journey, guided by park scout Alma, is set back by a nighttime attack that leaves the two bruised and shoeless. When they run into Zach, a man living off the grid, they gratefully accept his help. Zach’s intentions aren’t exactly what they seem, however, and a path out of the forest and into safety quickly fades as the line between myth and science blurs.",19.708,"['Horror', 'Science Fiction', 'Thriller']",2021-04-16,5.8,289,0
4065,82695,Les Misérables,"An adaptation of the successful stage musical based on Victor Hugo's classic novel set in 19th-century France, in which a paroled prisoner named Jean Valjean seeks redemption.",19.707,"['History', 'Drama']",2012-12-18,7.3,4757,441809770
4066,23759,Centurion,"Britain, A.D. 117. Quintus Dias, the sole survivor of a Pictish raid on a Roman frontier fort, marches north with General Virilus' legendary Ninth Legion, under orders to wipe the Picts from the face of the Earth and destroy their leader, Gorlacon.",19.706,"['Adventure', 'Action', 'Drama']",2010-02-15,6.2,1182,6890432
4067,568467,Ammonite,"In 1840s England, palaeontologist Mary Anning and a young woman sent by her husband to convalesce by the sea develop an intense relationship. Despite the chasm between their social spheres and personalities, Mary and Charlotte discover they can each offer what the other has been searching for: the realisation that they are not alone. It is the beginning of a passionate and all-consuming love affair that will defy all social bounds and alter the course of both lives irrevocably.",19.705,"['Romance', 'Drama']",2020-11-13,7.1,413,1396905
4068,2539,Spanglish,"Mexican immigrant and single mother Flor Moreno finds housekeeping work with Deborah and John Clasky, a well-off couple with two children of their own. When Flor admits she can't handle the schedule because of her daughter, Cristina, Deborah decides they should move into the Clasky home. Cultures clash and tensions run high as Flor and the Claskys struggle to share space while raising their children on their own, and very different, terms.",19.704,['Comedy'],2004-12-17,6.0,1108,55041367
4069,9954,The Covenant,Four young men who belong to a supernatural legacy are forced to battle a fifth power long thought to have died out. Another great force they must contend with is the jealousy and suspicion that threatens to tear them apart.,19.701,"['Fantasy', 'Horror']",2006-09-08,5.5,862,37597471
4070,283378,Fallen,"Lucinda Price is sent to a reform academy under the assumption that she has killed a boy. There, she meets two mysterious boys, Cam and Daniel, to whom she feels drawn to both. But as the love triangle unfurls, it is Daniel that Luce cannot keep herself away from, and things begin to take a darker turn when she finds out his true identity.",19.697,"['Drama', 'Fantasy', 'Romance']",2016-11-10,6.1,1467,0
4071,329440,The Forest,"Set in the Aokigahara Forest, a real-life place in Japan where people go to end their lives. Against this backdrop, a young American woman comes in search of her twin sister, who has mysteriously disappeared.",19.696,"['Horror', 'Thriller', 'Mystery']",2016-01-07,5.2,1556,37608299
4072,137093,Last Vegas,Three sixty-something friends take a break from their day-to-day lives to throw a bachelor party in Las Vegas for their last remaining single pal.,19.694,['Comedy'],2013-10-31,6.4,1897,134402450
4073,10396,Tequila Sunrise,"In a seaside California town, best friends Mac and Nick are on opposite sides of the law. Mac is a former drug dealer trying to clean up his act, while Nick is a high-profile detective trying to take down a Mexican drug lord named Carlos. Soon Nick's loyalties are put to the test when he begins an affair with restaurateur Jo Ann  -- a love interest of Mac's -- unwittingly leading his friend into a police-orchestrated trap.",19.684,"['Crime', 'Romance', 'Thriller']",1988-12-02,6.1,404,105900000
4074,3635,Girl with a Pearl Earring,"This film, adapted from a work of fiction by author Tracy Chevalier, tells a story about the events surrounding the creation of the painting ""Girl With A Pearl Earring"" by 17th century Dutch master Johannes Vermeer. A young peasant maid working in the house of painter Johannes Vermeer becomes his talented assistant and the model for one of his most famous works.",19.683,"['Drama', 'Romance']",2003-12-12,6.6,1187,31466789
4075,2046,The Gift,"Annie Wilson, young widow and mother of three, makes her living foretelling others' futures⁠—though her own has become cloudier than even she can see. Threatened by a client's violent husband and plagued by visions of a missing local woman, Annie finds herself pulled into a thicket of lies and deception in which her extraordinary gift may ultimately get her killed.",19.682,"['Horror', 'Drama', 'Thriller', 'Mystery']",2000-03-16,6.4,971,12008642
4076,63700,My Babysitter's a Vampire,"Geeky 14-year old Ethan is left to babysit his younger sister, Jane, with his best friend Benny but after Ethan inadvertently puts Jane in harm's way, his parents hire a professional babysitter, the beautiful yet mysterious 17-year-old Sarah who, unbeknownst to them, is actually a fledgling vampire.",19.679,"['Adventure', 'Comedy', 'Family', 'Fantasy', 'TV Movie', 'Horror']",2010-10-09,6.9,340,0
4077,466622,The Rhythm Section,"When she discovers the plane crash that claimed the lives of her family was no accident, Stephanie Patrick enters the dark, complex world of international espionage seeking vengeance. With nothing left to lose, Stephanie transforms from victim to assassin and discovers that neither revenge nor the truth are what they appear.",19.678,"['Action', 'Thriller']",2020-01-31,5.6,518,0
4078,846,The X Files,"Mulder and Scully, now taken off the FBI's X Files cases, must find a way to fight the shadowy elements of the government to find out the truth about a conspiracy that might mean the alien colonization of Earth.",19.678,"['Mystery', 'Science Fiction', 'Thriller']",1998-06-19,6.8,1326,189198313
